Partida,Cód. Artículo,Descripción,Descripción depósito,Saldo stock sistema,Saldo stock fisico
080266,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",STOCK,0.0,0.0
080266,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",VENCIDO,0.0,0.0
08-0371,IA5013/1M,"Impl ANATOMIC Ø 5,1 x 13 CE",VENCIDO,0.0,0.0
08-0387,IA5010/1M,"Impl ANATOMIC Ø 5,1 x 10 CE",VENCIDO,0.0,0.0
082518,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",STOCK,0.0,0.0
082518,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",VENCIDO,0.0,0.0
08-2519,IA5010/1M,"Impl ANATOMIC Ø 5,1 x 10 CE",VENCIDO,0.0,0.0
09-0021,IA3516/2M,"Impl ANATOMIC Ø3,5 x 16 CI",VENCIDO,0.0,0.0
090022,IA3516/2M,"Impl ANATOMIC Ø3,5 x 16 CI",STOCK,0.0,0.0
090022,IA3516/2M,"Impl ANATOMIC Ø3,5 x 16 CI",VENCIDO,0.0,0.0
092708,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",STOCK,0.0,0.0
092708,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",VENCIDO,0.0,0.0
092757,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",STOCK,0.0,0.0
092757,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",VENCIDO,0.0,0.0
09-3265,IA3510/2M,"Impl ANATOMIC Ø3,5 x 10 CI",VENCIDO,0.0,0.0
09-3508,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",VENCIDO,0.0,0.0
094011,IA5013/1M,"Impl ANATOMIC Ø 5,1 x 13 CE",STOCK,0.0,0.0
094011,IA5013/1M,"Impl ANATOMIC Ø 5,1 x 13 CE",VENCIDO,0.0,0.0
094063,IA4308/1M,"Impl ANATOMIC Ø4,3 x 8 CE",STOCK,0.0,0.0
094063,IA4308/1M,"Impl ANATOMIC Ø4,3 x 8 CE",VENCIDO,0.0,0.0
09-4348,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",VENCIDO,0.0,0.0
094409,IA5016/1M,"Impl ANATOMIC Ø 5,1 x 16 CE",STOCK,0.0,0.0
094409,IA5016/1M,"Impl ANATOMIC Ø 5,1 x 16 CE",VENCIDO,0.0,0.0
095669,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",STOCK,0.0,0.0
095669,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",VENCIDO,0.0,0.0
1,IA3510/2M,"Impl ANATOMIC Ø3,5 x 10 CI",STOCK,0.0,0.0
100075,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",STOCK,0.0,0.0
100075,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",VENCIDO,0.0,0.0
101071,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",STOCK,0.0,0.0
101275,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",STOCK,0.0,0.0
101275,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",VENCIDO,0.0,0.0
103012,IA5008/1M,"Impl ANATOMIC Ø 5,1 x 8 CE",STOCK,0.0,0.0
103012,IA5008/1M,"Impl ANATOMIC Ø 5,1 x 8 CE",VENCIDO,0.0,0.0
103168,IA5013/1M,"Impl ANATOMIC Ø 5,1 x 13 CE",STOCK,0.0,0.0
10-3172,IA5013/1M,"Impl ANATOMIC Ø 5,1 x 13 CE",VENCIDO,0.0,0.0
10-3560,IS5013/1M,"Impl RAPID Ø 5,1 x 13",VENCIDO,0.0,0.0
103582,IA5013/1M,"Impl ANATOMIC Ø 5,1 x 13 CE",STOCK,0.0,0.0
